review_id,symbol,timeframe,exchange,fib_level,fib_price,event_bar,event_time,auto_candidate,touch_type,approach_side,note,evidence_forward_bars,evidence_closes_beyond,evidence_closes_back,evidence_max_penetration_atr,swing_start_time,swing_end_time,swing_direction,swing_start_bar,swing_end_bar,chart_path,human_label,human_confidence,human_note
BTC-USD_1d_L0p236_s248_e265_b337_rej,BTC/USD,1d,bitfinex,0.236,711.252,337,2014-03-03T00:00:00+00:00,rejection_candidate,wick_above,below,Touched level and rejected back to the approach side,5,0,6,0.0,2013-12-04T00:00:00+00:00,2013-12-21T00:00:00+00:00,down,248,265,charts/BTC-USD_1d_L0p236_s248_e265_b337_rej.png,,,
BTC-USD_1d_L0p236_s301_e331_b417_cont,BTC/USD,1d,bitfinex,0.236,503.068705,417,2014-05-22T00:00:00+00:00,continuation_candidate,wick_below,below,Broke through level and continued,5,6,0,4.0424,2014-01-26T00:00:00+00:00,2014-02-25T00:00:00+00:00,down,301,331,charts/BTC-USD_1d_L0p236_s301_e331_b417_cont.png,,,
BTC-USD_1d_L0p236_s313_e394_b948_rej,BTC/USD,1d,bitfinex,0.236,493.176,948,2015-11-04T00:00:00+00:00,rejection_candidate,wick_above,below,Touched level and rejected back to the approach side,5,0,6,0.0,2014-02-07T00:00:00+00:00,2014-04-29T00:00:00+00:00,down,313,394,charts/BTC-USD_1d_L0p236_s313_e394_b948_rej.png,,,
BTC-USD_1d_L0p236_s313_e574_b982_cont,BTC/USD,1d,bitfinex,0.236,421.2836,982,2015-12-08T00:00:00+00:00,continuation_candidate,wick_below,below,Broke through level and continued,5,3,2,1.6445,2014-02-07T00:00:00+00:00,2014-10-26T00:00:00+00:00,down,313,574,charts/BTC-USD_1d_L0p236_s313_e574_b982_cont.png,,,
BTC-USD_1d_L0p236_s315_e335_b354_react,BTC/USD,1d,bitfinex,0.236,584.736408,354,2014-03-20T00:00:00+00:00,reaction_candidate,close_above,above,Reacted at level without a clear breakout or rejection,5,3,0,0.7001,2014-02-09T00:00:00+00:00,2014-03-01T00:00:00+00:00,down,315,335,charts/BTC-USD_1d_L0p236_s315_e335_b354_react.png,,,
BTC-USD_1d_L0p236_s337_e376_b536_fail,BTC/USD,1d,bitfinex,0.236,429.503,536,2014-09-18T00:00:00+00:00,failure_candidate,wick_above,above,Accepted beyond level then reversed back across it,5,5,1,2.0186,2014-03-03T00:00:00+00:00,2014-04-11T00:00:00+00:00,down,337,376,charts/BTC-USD_1d_L0p236_s337_e376_b536_fail.png,,,
BTC-USD_1d_L0p236_s337_e553_b947_fail,BTC/USD,1d,bitfinex,0.236,379.843,947,2015-11-03T00:00:00+00:00,failure_candidate,wick_below,below,Accepted beyond level then reversed back across it,5,4,2,1.6412,2014-03-03T00:00:00+00:00,2014-10-05T00:00:00+00:00,down,337,553,charts/BTC-USD_1d_L0p236_s337_e553_b947_fail.png,,,
BTC-USD_1d_L0p236_s337_e654_b831_react,BTC/USD,1d,bitfinex,0.236,296.9108,831,2015-07-10T00:00:00+00:00,reaction_candidate,close_below,below,Reacted at level without a clear breakout or rejection,5,1,5,1.4384,2014-03-03T00:00:00+00:00,2015-01-14T00:00:00+00:00,down,337,654,charts/BTC-USD_1d_L0p236_s337_e654_b831_react.png,,,
BTC-USD_1d_L0p382_s205_e224_b685_fail,BTC/USD,1d,bitfinex,0.382,245.96798,685,2015-02-14T00:00:00+00:00,failure_candidate,wick_below,below,Accepted beyond level then reversed back across it,5,1,5,0.5927,2013-10-22T00:00:00+00:00,2013-11-10T00:00:00+00:00,up,205,224,charts/BTC-USD_1d_L0p382_s205_e224_b685_fail.png,,,
BTC-USD_1d_L0p382_s251_e257_b292_rej,BTC/USD,1d,bitfinex,0.382,776.36878,292,2014-01-17T00:00:00+00:00,rejection_candidate,wick_below,above,Touched level and rejected back to the approach side,5,0,6,0.0,2013-12-07T00:00:00+00:00,2013-12-13T00:00:00+00:00,up,251,257,charts/BTC-USD_1d_L0p382_s251_e257_b292_rej.png,,,
BTC-USD_1d_L0p382_s316_e396_b588_cont,BTC/USD,1d,bitfinex,0.382,362.86154,588,2014-11-09T00:00:00+00:00,continuation_candidate,close_below,below,Broke through level and continued,5,5,0,4.0281,2014-02-10T00:00:00+00:00,2014-05-01T00:00:00+00:00,up,316,396,charts/BTC-USD_1d_L0p382_s316_e396_b588_cont.png,,,
BTC-USD_1d_L0p382_s316_e702_b735_fail,BTC/USD,1d,bitfinex,0.382,258.092,735,2015-04-05T00:00:00+00:00,failure_candidate,wick_below,below,Accepted beyond level then reversed back across it,5,1,5,0.2075,2014-02-10T00:00:00+00:00,2015-03-03T00:00:00+00:00,up,316,702,charts/BTC-USD_1d_L0p382_s316_e702_b735_fail.png,,,
