review_id,symbol,timeframe,exchange,fib_source,fib_id,fib_level,fib_price,fib_levels,event_bar,event_time,relation,auto_candidate,touch_type,approach_side,note,evidence_forward_bars,evidence_closes_beyond,evidence_closes_back,evidence_max_penetration_atr,swing_start_time,swing_end_time,swing_direction,swing_start_bar,swing_end_bar,anchor_a_time,anchor_a_price,anchor_a_bar,anchor_b_time,anchor_b_price,anchor_b_bar,chart_path,human_label,human_confidence,human_note
BTC-USD_1d_L0p236_s152_e154_b290_cont,BTC/USD,1d,bitfinex,machine_swing,,0.236,27591.544,"[{""price"":27591.544,""ratio"":""0.236""},{""price"":27825.728,""ratio"":""0.382""},{""price"":28015.0,""ratio"":""0.5""},{""price"":28204.272,""ratio"":""0.618""},{""price"":28473.744,""ratio"":""0.786""}]",290,2023-08-17T00:00:00+00:00,cross,continuation_candidate,wick_above,above,Broke through level and continued,5,6,0,1.9551,2023-04-01T00:00:00+00:00,2023-04-03T00:00:00+00:00,down,152,154,2023-04-01T00:00:00+00:00,28817.0,152,2023-04-03T00:00:00+00:00,27213.0,154,charts/BTC-USD_1d_L0p236_s152_e154_b290_cont.png,,,
BTC-USD_1d_L0p236_s193_e216_b332_cont,BTC/USD,1d,bitfinex,machine_swing,,0.236,27090.86,"[{""price"":27090.86,""ratio"":""0.236""},{""price"":26855.07,""ratio"":""0.382""},{""price"":26664.5,""ratio"":""0.5""},{""price"":26473.93,""ratio"":""0.618""},{""price"":26202.61,""ratio"":""0.786""}]",332,2023-09-28T00:00:00+00:00,touch,continuation_candidate,wick_above,below,Broke through level and continued,5,3,2,1.4792,2023-05-12T00:00:00+00:00,2023-06-04T00:00:00+00:00,up,193,216,2023-05-12T00:00:00+00:00,25857.0,193,2023-06-04T00:00:00+00:00,27472.0,216,charts/BTC-USD_1d_L0p236_s193_e216_b332_cont.png,,,
BTC-USD_1d_L0p236_s227_e229_b230_rej,BTC/USD,1d,bitfinex,machine_swing,,0.236,26377.448,"[{""price"":26377.448,""ratio"":""0.236""},{""price"":26080.776,""ratio"":""0.382""},{""price"":25841.0,""ratio"":""0.5""},{""price"":25601.224,""ratio"":""0.618""},{""price"":25259.848,""ratio"":""0.786""}]",230,2023-06-18T00:00:00+00:00,cross,rejection_candidate,wick_above,above,Touched level and rejected back to the approach side,5,0,5,0.0224,2023-06-15T00:00:00+00:00,2023-06-17T00:00:00+00:00,up,227,229,2023-06-15T00:00:00+00:00,24825.0,227,2023-06-17T00:00:00+00:00,26857.0,229,charts/BTC-USD_1d_L0p236_s227_e229_b230_rej.png,,,
BTC-USD_1d_L0p236_s249_e500_b707_react,BTC/USD,1d,bitfinex,machine_swing,,0.236,63301.824,"[{""price"":63301.824,""ratio"":""0.236""},{""price"":56890.088,""ratio"":""0.382""},{""price"":51708.0,""ratio"":""0.5""},{""price"":46525.912,""ratio"":""0.618""},{""price"":39148.024,""ratio"":""0.786""}]",707,2024-10-07T00:00:00+00:00,touch,reaction_candidate,wick_above,below,Reacted at level without a clear breakout or rejection,5,0,5,0.0169,2023-07-07T00:00:00+00:00,2024-03-14T00:00:00+00:00,up,249,500,2023-07-07T00:00:00+00:00,29750.0,249,2024-03-14T00:00:00+00:00,73666.0,500,charts/BTC-USD_1d_L0p236_s249_e500_b707_react.png,,,
BTC-USD_1d_L0p236_s249_e637_b642_fail,BTC/USD,1d,bitfinex,machine_swing,,0.236,60624.768,"[{""price"":60624.768,""ratio"":""0.236""},{""price"":54724.616,""ratio"":""0.382""},{""price"":49956.0,""ratio"":""0.5""},{""price"":45187.384,""ratio"":""0.618""},{""price"":38398.168,""ratio"":""0.786""}]",642,2024-08-03T00:00:00+00:00,touch,failure_candidate,wick_below,above,Accepted beyond level then reversed back across it,5,4,1,2.5397,2023-07-07T00:00:00+00:00,2024-07-29T00:00:00+00:00,up,249,637,2023-07-07T00:00:00+00:00,29750.0,249,2024-07-29T00:00:00+00:00,70162.0,637,charts/BTC-USD_1d_L0p236_s249_e637_b642_fail.png,,,
BTC-USD_1d_L0p236_s249_e637_b701_rej,BTC/USD,1d,bitfinex,machine_swing,,0.236,60624.768,"[{""price"":60624.768,""ratio"":""0.236""},{""price"":54724.616,""ratio"":""0.382""},{""price"":49956.0,""ratio"":""0.5""},{""price"":45187.384,""ratio"":""0.618""},{""price"":38398.168,""ratio"":""0.786""}]",701,2024-10-01T00:00:00+00:00,touch,rejection_candidate,wick_below,above,Touched level and rejected back to the approach side,5,0,5,0.0,2023-07-07T00:00:00+00:00,2024-07-29T00:00:00+00:00,up,249,637,2023-07-07T00:00:00+00:00,29750.0,249,2024-07-29T00:00:00+00:00,70162.0,637,charts/BTC-USD_1d_L0p236_s249_e637_b701_rej.png,,,
BTC-USD_1d_L0p236_s255_e260_b275_react,BTC/USD,1d,bitfinex,machine_swing,,0.236,30086.272,"[{""price"":30086.272,""ratio"":""0.236""},{""price"":30422.364,""ratio"":""0.382""},{""price"":30694.0,""ratio"":""0.5""},{""price"":30965.636,""ratio"":""0.618""},{""price"":31352.372,""ratio"":""0.786""}]",275,2023-08-02T00:00:00+00:00,below,reaction_candidate,close_below,below,Reacted at level without a clear breakout or rejection,5,0,6,0.0,2023-07-13T00:00:00+00:00,2023-07-18T00:00:00+00:00,down,255,260,2023-07-13T00:00:00+00:00,31845.0,255,2023-07-18T00:00:00+00:00,29543.0,260,charts/BTC-USD_1d_L0p236_s255_e260_b275_react.png,,,
BTC-USD_1d_L0p236_s255_e419_b448_fail,BTC/USD,1d,bitfinex,machine_swing,,0.236,40138.22,"[{""price"":40138.22,""ratio"":""0.236""},{""price"":38553.39,""ratio"":""0.382""},{""price"":37272.5,""ratio"":""0.5""},{""price"":35991.61,""ratio"":""0.618""},{""price"":34167.97,""ratio"":""0.786""}]",448,2024-01-22T00:00:00+00:00,cross,failure_candidate,wick_above,above,Accepted beyond level then reversed back across it,5,2,2,0.2962,2023-07-13T00:00:00+00:00,2023-12-24T00:00:00+00:00,up,255,419,2023-07-13T00:00:00+00:00,31845.0,255,2023-12-24T00:00:00+00:00,42700.0,419,charts/BTC-USD_1d_L0p236_s255_e419_b448_fail.png,,,
BTC-USD_1d_L0p382_s175_e177_b178_fail,BTC/USD,1d,bitfinex,machine_swing,,0.382,28866.608,"[{""price"":29312.784,""ratio"":""0.236""},{""price"":28866.608,""ratio"":""0.382""},{""price"":28506.0,""ratio"":""0.5""},{""price"":28145.392,""ratio"":""0.618""},{""price"":27631.984,""ratio"":""0.786""}]",178,2023-04-27T00:00:00+00:00,cross,failure_candidate,wick_below,below,Accepted beyond level then reversed back across it,5,4,2,0.5351,2023-04-24T00:00:00+00:00,2023-04-26T00:00:00+00:00,up,175,177,2023-04-24T00:00:00+00:00,26978.0,175,2023-04-26T00:00:00+00:00,30034.0,177,charts/BTC-USD_1d_L0p382_s175_e177_b178_fail.png,,,
BTC-USD_1d_L0p382_s227_e229_b329_rej,BTC/USD,1d,bitfinex,machine_swing,,0.382,26080.776,"[{""price"":26377.448,""ratio"":""0.236""},{""price"":26080.776,""ratio"":""0.382""},{""price"":25841.0,""ratio"":""0.5""},{""price"":25601.224,""ratio"":""0.618""},{""price"":25259.848,""ratio"":""0.786""}]",329,2023-09-25T00:00:00+00:00,touch,rejection_candidate,close_above,above,Touched level and rejected back to the approach side,5,0,6,0.0,2023-06-15T00:00:00+00:00,2023-06-17T00:00:00+00:00,up,227,229,2023-06-15T00:00:00+00:00,24825.0,227,2023-06-17T00:00:00+00:00,26857.0,229,charts/BTC-USD_1d_L0p382_s227_e229_b329_rej.png,,,
BTC-USD_1d_L0p382_s249_e568_b613_rej,BTC/USD,1d,bitfinex,machine_swing,,0.382,55812.296,"[{""price"":61969.408,""ratio"":""0.236""},{""price"":55812.296,""ratio"":""0.382""},{""price"":50836.0,""ratio"":""0.5""},{""price"":45859.704,""ratio"":""0.618""},{""price"":38774.808,""ratio"":""0.786""}]",613,2024-07-05T00:00:00+00:00,touch,rejection_candidate,wick_below,above,Touched level and rejected back to the approach side,5,0,6,0.0,2023-07-07T00:00:00+00:00,2024-05-21T00:00:00+00:00,up,249,568,2023-07-07T00:00:00+00:00,29750.0,249,2024-05-21T00:00:00+00:00,71922.0,568,charts/BTC-USD_1d_L0p382_s249_e568_b613_rej.png,,,
BTC-USD_1d_L0p382_s249_e853_b1193_cont,BTC/USD,1d,bitfinex,machine_swing,,0.382,70272.878,"[{""price"":79846.244,""ratio"":""0.236""},{""price"":70272.878,""ratio"":""0.382""},{""price"":62535.5,""ratio"":""0.5""},{""price"":54798.122,""ratio"":""0.618""},{""price"":43782.194,""ratio"":""0.786""}]",1193,2026-02-05T00:00:00+00:00,cross,continuation_candidate,wick_above,above,Broke through level and continued,5,3,0,1.7707,2023-07-07T00:00:00+00:00,2025-03-02T00:00:00+00:00,up,249,853,2023-07-07T00:00:00+00:00,29750.0,249,2025-03-02T00:00:00+00:00,95321.0,853,charts/BTC-USD_1d_L0p382_s249_e853_b1193_cont.png,,,
BTC-USD_1d_L0p382_s249_e963_b1188_cont,BTC/USD,1d,bitfinex,machine_swing,,0.382,77230.94,"[{""price"":88448.12,""ratio"":""0.236""},{""price"":77230.94,""ratio"":""0.382""},{""price"":68165.0,""ratio"":""0.5""},{""price"":59099.06,""ratio"":""0.618""},{""price"":46191.62,""ratio"":""0.786""}]",1188,2026-01-31T00:00:00+00:00,touch,continuation_candidate,wick_below,above,Broke through level and continued,5,3,2,4.5581,2023-07-07T00:00:00+00:00,2025-06-20T00:00:00+00:00,up,249,963,2023-07-07T00:00:00+00:00,29750.0,249,2025-06-20T00:00:00+00:00,106580.0,963,charts/BTC-USD_1d_L0p382_s249_e963_b1188_cont.png,,,
BTC-USD_1d_L0p382_s255_e274_b350_react,BTC/USD,1d,bitfinex,machine_swing,,0.382,29862.456,"[{""price"":29394.088,""ratio"":""0.236""},{""price"":29862.456,""ratio"":""0.382""},{""price"":30241.0,""ratio"":""0.5""},{""price"":30619.544,""ratio"":""0.618""},{""price"":31158.488,""ratio"":""0.786""}]",350,2023-10-16T00:00:00+00:00,touch,reaction_candidate,wick_above,below,Reacted at level without a clear breakout or rejection,5,0,5,0.0788,2023-07-13T00:00:00+00:00,2023-08-01T00:00:00+00:00,down,255,274,2023-07-13T00:00:00+00:00,31845.0,255,2023-08-01T00:00:00+00:00,28637.0,274,charts/BTC-USD_1d_L0p382_s255_e274_b350_react.png,,,
BTC-USD_1d_L0p382_s255_e770_b1218_fail,BTC/USD,1d,bitfinex,machine_swing,,0.382,70393.986,"[{""price"":79501.028,""ratio"":""0.236""},{""price"":70393.986,""ratio"":""0.382""},{""price"":63033.5,""ratio"":""0.5""},{""price"":55673.014,""ratio"":""0.618""},{""price"":45193.678,""ratio"":""0.786""}]",1218,2026-03-02T00:00:00+00:00,below,failure_candidate,close_below,below,Accepted beyond level then reversed back across it,5,2,4,0.6586,2023-07-13T00:00:00+00:00,2024-12-09T00:00:00+00:00,up,255,770,2023-07-13T00:00:00+00:00,31845.0,255,2024-12-09T00:00:00+00:00,94222.0,770,charts/BTC-USD_1d_L0p382_s255_e770_b1218_fail.png,,,
