review_id,symbol,timeframe,exchange,fib_level,fib_price,event_bar,event_time,auto_candidate,touch_type,approach_side,note,evidence_forward_bars,evidence_closes_beyond,evidence_closes_back,evidence_max_penetration_atr,swing_start_time,swing_end_time,swing_direction,swing_start_bar,swing_end_bar,chart_path,human_label,human_confidence,human_note
fib_BTC-USD_1d_20260407T000000_L0p618_b944_rejection,BTC/USD,1d,bitfinex,0.618,70847.294,944,2026-04-08T00:00:00+00:00,rejection_candidate,close_above,above,Touched level and rejected back to the approach side,5,0,4,0.0545,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L0p618_b944_rejection.png,,,
fib_BTC-USD_1d_20260407T000000_L0p786_b944_failure,BTC/USD,1d,bitfinex,0.786,71701.238,944,2026-04-08T00:00:00+00:00,failure_candidate,wick_above,above,Accepted beyond level then reversed back across it,5,2,3,0.3859,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L0p786_b944_failure.png,,,
fib_BTC-USD_1d_20260407T000000_L1_b944_continuation,BTC/USD,1d,bitfinex,1,72789.0,944,2026-04-08T00:00:00+00:00,continuation_candidate,close_below,below,Broke through level and continued,5,2,3,0.6164,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L1_b944_continuation.png,,,
fib_BTC-USD_1d_20260407T000000_L0p5_b945_rejection,BTC/USD,1d,bitfinex,0.5,70247.5,945,2026-04-09T00:00:00+00:00,rejection_candidate,close_above,above,Touched level and rejected back to the approach side,5,0,6,0.0,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L0p5_b945_rejection.png,,,
fib_BTC-USD_1d_20260413T000000_L0p236_b954_failure,BTC/USD,1d,bitfinex,0.236,76486.964,954,2026-04-18T00:00:00+00:00,failure_candidate,wick_above,above,Accepted beyond level then reversed back across it,5,3,2,1.05,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p236_b954_failure.png,,,
fib_BTC-USD_1d_20260413T000000_L0p382_b954_rejection,BTC/USD,1d,bitfinex,0.382,75348.018,954,2026-04-18T00:00:00+00:00,rejection_candidate,close_above,above,Touched level and rejected back to the approach side,5,1,5,0.6052,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p382_b954_rejection.png,,,
fib_BTC-USD_1d_20260413T000000_L0p5_b955_failure,BTC/USD,1d,bitfinex,0.5,74427.5,955,2026-04-19T00:00:00+00:00,failure_candidate,wick_above,above,Accepted beyond level then reversed back across it,5,1,5,0.2463,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p5_b955_failure.png,,,
fib_BTC-USD_1d_20260413T000000_L0p618_b955_rejection,BTC/USD,1d,bitfinex,0.618,73506.982,955,2026-04-19T00:00:00+00:00,rejection_candidate,close_above,above,Touched level and rejected back to the approach side,5,0,6,0.0,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p618_b955_rejection.png,,,
fib_BTC-USD_1d_20260420T000000_L0p236_b959_continuation,BTC/USD,1d,bitfinex,0.236,78119.46,959,2026-04-23T00:00:00+00:00,continuation_candidate,wick_below,above,Broke through level and continued,5,4,1,0.6771,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L0p236_b959_continuation.png,,,
fib_BTC-USD_1d_20260420T000000_L0p382_b959_reaction,BTC/USD,1d,bitfinex,0.382,77277.77,959,2026-04-23T00:00:00+00:00,reaction_candidate,wick_below,above,Reacted at level without a clear breakout or rejection,5,1,3,0.3464,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L0p382_b959_reaction.png,,,
