auto_candidate,relation,fib_level,timeframe,horizon,n_events,mean_forward_return,mean_mfe,mean_mae,rate_close_on_approach_side,rate_crossed_back,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm,mean_post_bars_on_break_side,mean_post_retest_count,mean_post_remained_near_level_rate
continuation_candidate,cross,0.236,1d,10,2,-0.029655,0.047194,0.01869,0.0,0.5,8,1.072024,27.757435,1288.29,0.229581,23,5,0.076724
continuation_candidate,cross,0.236,1d,20,2,-0.135035,0.146072,0.01869,0.0,0.5,8,1.072024,27.757435,1288.29,0.229581,23,5,0.076724
continuation_candidate,cross,0.236,1d,5,2,-0.000731,0.018466,0.01869,0.0,0.5,8,1.072024,27.757435,1288.29,0.229581,23,5,0.076724
continuation_candidate,cross,0.236,1d,50,2,-0.21082,0.226916,0.01869,0.0,0.5,8,1.072024,27.757435,1288.29,0.229581,23,5,0.076724
continuation_candidate,cross,0.382,1d,10,2,-0.113826,0.1319,0.006316,0.0,0.0,20,2.773122,3.239632,2321.362,0.877964,6,0,0.0
continuation_candidate,cross,0.382,1d,20,2,-0.113826,0.1319,0.006316,0.0,0.0,20,2.773122,3.239632,2321.362,0.877964,6,0,0.0
continuation_candidate,cross,0.382,1d,5,2,-0.053208,0.067603,0.006316,0.0,0.0,20,2.773122,3.239632,2321.362,0.877964,6,0,0.0
continuation_candidate,cross,0.382,1d,50,2,-0.113826,0.1319,0.006316,0.0,0.0,20,2.773122,3.239632,2321.362,0.877964,6,0,0.0
continuation_candidate,cross,0.5,1d,10,1,-0.064919,0.083991,0.01141,0.0,0.0,20,3.561662,2.219673,4105.5,1.6025,3,0,0.0
continuation_candidate,cross,0.5,1d,20,1,-0.064919,0.083991,0.01141,0.0,0.0,20,3.561662,2.219673,4105.5,1.6025,3,0,0.0
continuation_candidate,cross,0.5,1d,5,1,-0.064919,0.083991,0.01141,0.0,0.0,20,3.561662,2.219673,4105.5,1.6025,3,0,0.0
continuation_candidate,cross,0.5,1d,50,1,-0.064919,0.083991,0.01141,0.0,0.0,20,3.561662,2.219673,4105.5,1.6025,3,0,0.0
continuation_candidate,cross,0.618,1d,10,1,-0.054894,0.064477,0.034191,0.0,1.0,20,0.548748,14.559964,1996.77,0.18369,10,3,0.071429
continuation_candidate,cross,0.618,1d,20,1,-0.174437,0.191274,0.034191,0.0,1.0,20,0.548748,14.559964,1996.77,0.18369,10,3,0.071429
continuation_candidate,cross,0.618,1d,5,1,-0.013978,0.020107,0.034191,0.0,1.0,20,0.548748,14.559964,1996.77,0.18369,10,3,0.071429
continuation_candidate,cross,0.618,1d,50,1,-0.174437,0.191274,0.034191,0.0,1.0,20,0.548748,14.559964,1996.77,0.18369,10,3,0.071429
continuation_candidate,cross,0.786,1d,10,3,-0.138568,0.156138,0.000473,0.0,0.0,20,2.925674,3.040242,1860.546,0.260684,5.666667,0,0.0
continuation_candidate,cross,0.786,1d,20,3,-0.138568,0.156138,0.000473,0.0,0.0,20,2.925674,3.040242,1860.546,0.260684,5.666667,0,0.0
continuation_candidate,cross,0.786,1d,5,3,-0.098156,0.113273,0.000473,0.0,0.0,20,2.925674,3.040242,1860.546,0.260684,5.666667,0,0.0
continuation_candidate,cross,0.786,1d,50,3,-0.138568,0.156138,0.000473,0.0,0.0,20,2.925674,3.040242,1860.546,0.260684,5.666667,0,0.0
continuation_candidate,cross,1,1d,10,2,-0.157694,0.174872,0.005883,0.0,0.5,20,2.394922,3.747225,1198.5,0.143103,7.5,2,0.1875
continuation_candidate,cross,1,1d,20,2,-0.157694,0.174872,0.005883,0.0,0.5,20,2.394922,3.747225,1198.5,0.143103,7.5,2,0.1875
continuation_candidate,cross,1,1d,5,2,-0.067661,0.076297,0.005883,0.0,0.5,20,2.394922,3.747225,1198.5,0.143103,7.5,2,0.1875
continuation_candidate,cross,1,1d,50,2,-0.157694,0.174872,0.005883,0.0,0.5,20,2.394922,3.747225,1198.5,0.143103,7.5,2,0.1875
continuation_candidate,touch,0.236,1d,10,2,-0.087801,0.119212,0.009178,0.5,0.5,2,3.198147,3.244115,1658.236,0.048584,18.5,5.5,0.093023
continuation_candidate,touch,0.236,1d,20,2,-0.083191,0.119212,0.030186,0.5,0.5,2,3.198147,3.244115,1658.236,0.048584,18.5,5.5,0.093023
continuation_candidate,touch,0.236,1d,5,2,-0.026862,0.039628,0.009178,0.0,0.5,2,3.198147,3.244115,1658.236,0.048584,18.5,5.5,0.093023
continuation_candidate,touch,0.236,1d,50,2,-0.191231,0.207726,0.030186,0.0,0.5,2,3.198147,3.244115,1658.236,0.048584,18.5,5.5,0.093023
continuation_candidate,touch,0.382,1d,10,2,-0.049486,0.053612,0.01492,0.0,1.0,12,1.019464,15.400363,1630.875,0.192334,19.5,6,0.18421
continuation_candidate,touch,0.382,1d,20,2,-0.153537,0.16625,0.01492,0.0,1.0,12,1.019464,15.400363,1630.875,0.192334,19.5,6,0.18421
continuation_candidate,touch,0.382,1d,5,2,-0.030977,0.037285,0.01492,0.0,1.0,12,1.019464,15.400363,1630.875,0.192334,19.5,6,0.18421
continuation_candidate,touch,0.382,1d,50,2,-0.20966,0.225779,0.01492,0.0,1.0,12,1.019464,15.400363,1630.875,0.192334,19.5,6,0.18421
continuation_candidate,touch,0.5,1d,10,2,-0.097075,0.123081,0.017777,0.0,0.5,14.5,1.511801,5.847167,2068.75,0.111969,15,2,0.077295
continuation_candidate,touch,0.5,1d,20,2,-0.160761,0.172805,0.017777,0.0,0.5,14.5,1.511801,5.847167,2068.75,0.111969,15,2,0.077295
continuation_candidate,touch,0.5,1d,5,2,-0.035019,0.046147,0.017777,0.0,0.5,14.5,1.511801,5.847167,2068.75,0.111969,15,2,0.077295
continuation_candidate,touch,0.5,1d,50,2,-0.188066,0.204626,0.017777,0.0,0.5,14.5,1.511801,5.847167,2068.75,0.111969,15,2,0.077295
continuation_candidate,touch,0.618,1d,10,2,-0.090053,0.111074,0.008594,0.0,0.5,17.5,1.487499,27.228842,1148.249,0.057278,13,3.5,0.2625
continuation_candidate,touch,0.618,1d,20,2,-0.17707,0.193854,0.008594,0.0,0.5,17.5,1.487499,27.228842,1148.249,0.057278,13,3.5,0.2625
continuation_candidate,touch,0.618,1d,5,2,-0.050658,0.063967,0.008594,0.0,0.5,17.5,1.487499,27.228842,1148.249,0.057278,13,3.5,0.2625
continuation_candidate,touch,0.618,1d,50,2,-0.17707,0.193854,0.008594,0.0,0.5,17.5,1.487499,27.228842,1148.249,0.057278,13,3.5,0.2625
continuation_candidate,touch,0.786,1d,10,1,-0.131503,0.138742,0.017344,0.0,1.0,20,1.42388,5.97947,2499.29,0.871438,10,1,0.076923
continuation_candidate,touch,0.786,1d,20,1,-0.187885,0.204448,0.017344,0.0,1.0,20,1.42388,5.97947,2499.29,0.871438,10,1,0.076923
