auto_candidate,horizon,relation,fib_level,n_baseline,n_expanded,delta,reached_5,reached_10,reached_20,still_low_sample
continuation_candidate,5,above,0.236,0,5,5,True,False,False,False
continuation_candidate,5,above,0.382,0,5,5,True,False,False,False
continuation_candidate,5,above,0.5,0,1,1,False,False,False,True
continuation_candidate,5,above,0.618,0,1,1,False,False,False,True
continuation_candidate,5,above,0.786,0,1,1,False,False,False,True
continuation_candidate,5,above,1,0,4,4,False,False,False,True
continuation_candidate,5,below,0.236,0,3,3,False,False,False,True
continuation_candidate,5,below,0.382,0,3,3,False,False,False,True
continuation_candidate,5,below,0.5,0,3,3,False,False,False,True
continuation_candidate,5,below,0.786,0,2,2,False,False,False,True
continuation_candidate,5,below,1,0,2,2,False,False,False,True
continuation_candidate,5,cross,0.236,2,43,41,True,True,True,False
continuation_candidate,5,cross,0.382,2,42,40,True,True,True,False
continuation_candidate,5,cross,0.5,1,43,42,True,True,True,False
continuation_candidate,5,cross,0.618,1,41,40,True,True,True,False
continuation_candidate,5,cross,0.786,3,38,35,True,True,True,False
continuation_candidate,5,cross,1,2,42,40,True,True,True,False
continuation_candidate,5,touch,0.236,2,33,31,True,True,True,False
continuation_candidate,5,touch,0.382,2,21,19,True,True,True,False
continuation_candidate,5,touch,0.5,2,14,12,True,True,False,False
continuation_candidate,5,touch,0.618,2,25,23,True,True,True,False
continuation_candidate,5,touch,0.786,1,28,27,True,True,True,False
continuation_candidate,5,touch,1,3,18,15,True,True,False,False
continuation_candidate,10,above,0.236,0,5,5,True,False,False,False
continuation_candidate,10,above,0.382,0,5,5,True,False,False,False
continuation_candidate,10,above,0.5,0,1,1,False,False,False,True
continuation_candidate,10,above,0.618,0,1,1,False,False,False,True
continuation_candidate,10,above,0.786,0,1,1,False,False,False,True
continuation_candidate,10,above,1,0,4,4,False,False,False,True
continuation_candidate,10,below,0.236,0,3,3,False,False,False,True
continuation_candidate,10,below,0.382,0,3,3,False,False,False,True
continuation_candidate,10,below,0.5,0,3,3,False,False,False,True
continuation_candidate,10,below,0.786,0,2,2,False,False,False,True
continuation_candidate,10,below,1,0,2,2,False,False,False,True
continuation_candidate,10,cross,0.236,2,43,41,True,True,True,False
continuation_candidate,10,cross,0.382,2,42,40,True,True,True,False
continuation_candidate,10,cross,0.5,1,43,42,True,True,True,False
continuation_candidate,10,cross,0.618,1,41,40,True,True,True,False
continuation_candidate,10,cross,0.786,3,38,35,True,True,True,False
continuation_candidate,10,cross,1,2,42,40,True,True,True,False
continuation_candidate,10,touch,0.236,2,33,31,True,True,True,False
continuation_candidate,10,touch,0.382,2,21,19,True,True,True,False
continuation_candidate,10,touch,0.5,2,14,12,True,True,False,False
continuation_candidate,10,touch,0.618,2,25,23,True,True,True,False
continuation_candidate,10,touch,0.786,1,28,27,True,True,True,False
continuation_candidate,10,touch,1,3,18,15,True,True,False,False
continuation_candidate,20,above,0.236,0,5,5,True,False,False,False
continuation_candidate,20,above,0.382,0,5,5,True,False,False,False
continuation_candidate,20,above,0.5,0,1,1,False,False,False,True
continuation_candidate,20,above,0.618,0,1,1,False,False,False,True
continuation_candidate,20,above,0.786,0,1,1,False,False,False,True
continuation_candidate,20,above,1,0,4,4,False,False,False,True
continuation_candidate,20,below,0.236,0,3,3,False,False,False,True
continuation_candidate,20,below,0.382,0,3,3,False,False,False,True
continuation_candidate,20,below,0.5,0,3,3,False,False,False,True
continuation_candidate,20,below,0.786,0,2,2,False,False,False,True
continuation_candidate,20,below,1,0,2,2,False,False,False,True
continuation_candidate,20,cross,0.236,2,43,41,True,True,True,False
continuation_candidate,20,cross,0.382,2,42,40,True,True,True,False
continuation_candidate,20,cross,0.5,1,43,42,True,True,True,False
continuation_candidate,20,cross,0.618,1,41,40,True,True,True,False
continuation_candidate,20,cross,0.786,3,38,35,True,True,True,False
continuation_candidate,20,cross,1,2,42,40,True,True,True,False
continuation_candidate,20,touch,0.236,2,33,31,True,True,True,False
continuation_candidate,20,touch,0.382,2,21,19,True,True,True,False
continuation_candidate,20,touch,0.5,2,14,12,True,True,False,False
continuation_candidate,20,touch,0.618,2,25,23,True,True,True,False
continuation_candidate,20,touch,0.786,1,28,27,True,True,True,False
continuation_candidate,20,touch,1,3,18,15,True,True,False,False
continuation_candidate,50,above,0.236,0,5,5,True,False,False,False
continuation_candidate,50,above,0.382,0,5,5,True,False,False,False
continuation_candidate,50,above,0.5,0,1,1,False,False,False,True
continuation_candidate,50,above,0.618,0,1,1,False,False,False,True
continuation_candidate,50,above,0.786,0,1,1,False,False,False,True
continuation_candidate,50,above,1,0,4,4,False,False,False,True
continuation_candidate,50,below,0.236,0,3,3,False,False,False,True
continuation_candidate,50,below,0.382,0,3,3,False,False,False,True
continuation_candidate,50,below,0.5,0,3,3,False,False,False,True
continuation_candidate,50,below,0.786,0,2,2,False,False,False,True
continuation_candidate,50,below,1,0,2,2,False,False,False,True
continuation_candidate,50,cross,0.236,2,43,41,True,True,True,False
continuation_candidate,50,cross,0.382,2,42,40,True,True,True,False
continuation_candidate,50,cross,0.5,1,43,42,True,True,True,False
continuation_candidate,50,cross,0.618,1,41,40,True,True,True,False
continuation_candidate,50,cross,0.786,3,38,35,True,True,True,False
continuation_candidate,50,cross,1,2,42,40,True,True,True,False
continuation_candidate,50,touch,0.236,2,33,31,True,True,True,False
continuation_candidate,50,touch,0.382,2,21,19,True,True,True,False
continuation_candidate,50,touch,0.5,2,14,12,True,True,False,False
continuation_candidate,50,touch,0.618,2,25,23,True,True,True,False
continuation_candidate,50,touch,0.786,1,28,27,True,True,True,False
continuation_candidate,50,touch,1,3,18,15,True,True,False,False
failure_candidate,5,above,0.236,0,2,2,False,False,False,True
failure_candidate,5,above,1,0,1,1,False,False,False,True
failure_candidate,5,below,0.236,0,2,2,False,False,False,True
failure_candidate,5,below,0.382,0,2,2,False,False,False,True
failure_candidate,5,below,0.5,0,2,2,False,False,False,True
failure_candidate,5,below,0.786,0,6,6,True,False,False,False
failure_candidate,5,below,1,0,1,1,False,False,False,True
failure_candidate,5,cross,0.236,1,25,24,True,True,True,False
failure_candidate,5,cross,0.382,0,30,30,True,True,True,False
failure_candidate,5,cross,0.5,1,26,25,True,True,True,False
failure_candidate,5,cross,0.618,0,18,18,True,True,False,False
failure_candidate,5,cross,0.786,1,18,17,True,True,False,False
failure_candidate,5,cross,1,0,15,15,True,True,False,False
failure_candidate,5,touch,0.236,0,5,5,True,False,False,False
failure_candidate,5,touch,0.382,0,4,4,False,False,False,True
failure_candidate,5,touch,0.5,1,6,5,True,False,False,False
failure_candidate,5,touch,0.618,0,1,1,False,False,False,True
failure_candidate,5,touch,0.786,0,2,2,False,False,False,True
failure_candidate,5,touch,1,0,3,3,False,False,False,True
failure_candidate,10,above,0.236,0,2,2,False,False,False,True
failure_candidate,10,above,1,0,1,1,False,False,False,True
failure_candidate,10,below,0.236,0,2,2,False,False,False,True
failure_candidate,10,below,0.382,0,2,2,False,False,False,True
failure_candidate,10,below,0.5,0,2,2,False,False,False,True
failure_candidate,10,below,0.786,0,6,6,True,False,False,False
failure_candidate,10,below,1,0,1,1,False,False,False,True
failure_candidate,10,cross,0.236,1,25,24,True,True,True,False
failure_candidate,10,cross,0.382,0,30,30,True,True,True,False
failure_candidate,10,cross,0.5,1,26,25,True,True,True,False
failure_candidate,10,cross,0.618,0,18,18,True,True,False,False
failure_candidate,10,cross,0.786,1,18,17,True,True,False,False
failure_candidate,10,cross,1,0,15,15,True,True,False,False
failure_candidate,10,touch,0.236,0,5,5,True,False,False,False
failure_candidate,10,touch,0.382,0,4,4,False,False,False,True
failure_candidate,10,touch,0.5,1,6,5,True,False,False,False
failure_candidate,10,touch,0.618,0,1,1,False,False,False,True
failure_candidate,10,touch,0.786,0,2,2,False,False,False,True
failure_candidate,10,touch,1,0,3,3,False,False,False,True
failure_candidate,20,above,0.236,0,2,2,False,False,False,True
failure_candidate,20,above,1,0,1,1,False,False,False,True
failure_candidate,20,below,0.236,0,2,2,False,False,False,True
failure_candidate,20,below,0.382,0,2,2,False,False,False,True
failure_candidate,20,below,0.5,0,2,2,False,False,False,True
failure_candidate,20,below,0.786,0,6,6,True,False,False,False
failure_candidate,20,below,1,0,1,1,False,False,False,True
failure_candidate,20,cross,0.236,1,25,24,True,True,True,False
failure_candidate,20,cross,0.382,0,30,30,True,True,True,False
failure_candidate,20,cross,0.5,1,26,25,True,True,True,False
failure_candidate,20,cross,0.618,0,18,18,True,True,False,False
failure_candidate,20,cross,0.786,1,18,17,True,True,False,False
failure_candidate,20,cross,1,0,15,15,True,True,False,False
failure_candidate,20,touch,0.236,0,5,5,True,False,False,False
failure_candidate,20,touch,0.382,0,4,4,False,False,False,True
failure_candidate,20,touch,0.5,1,6,5,True,False,False,False
failure_candidate,20,touch,0.618,0,1,1,False,False,False,True
failure_candidate,20,touch,0.786,0,2,2,False,False,False,True
failure_candidate,20,touch,1,0,3,3,False,False,False,True
failure_candidate,50,above,0.236,0,2,2,False,False,False,True
failure_candidate,50,above,1,0,1,1,False,False,False,True
failure_candidate,50,below,0.236,0,2,2,False,False,False,True
failure_candidate,50,below,0.382,0,2,2,False,False,False,True
failure_candidate,50,below,0.5,0,2,2,False,False,False,True
failure_candidate,50,below,0.786,0,6,6,True,False,False,False
failure_candidate,50,below,1,0,1,1,False,False,False,True
failure_candidate,50,cross,0.236,1,25,24,True,True,True,False
failure_candidate,50,cross,0.382,0,30,30,True,True,True,False
failure_candidate,50,cross,0.5,1,26,25,True,True,True,False
failure_candidate,50,cross,0.618,0,18,18,True,True,False,False
failure_candidate,50,cross,0.786,1,18,17,True,True,False,False
failure_candidate,50,cross,1,0,15,15,True,True,False,False
failure_candidate,50,touch,0.236,0,5,5,True,False,False,False
failure_candidate,50,touch,0.382,0,4,4,False,False,False,True
failure_candidate,50,touch,0.5,1,6,5,True,False,False,False
failure_candidate,50,touch,0.618,0,1,1,False,False,False,True
failure_candidate,50,touch,0.786,0,2,2,False,False,False,True
failure_candidate,50,touch,1,0,3,3,False,False,False,True
