auto_candidate,relation,fib_level,timeframe,n_events,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_at_close_distance_atr_norm,mean_post_bars_on_break_side,mean_post_retest_count,mean_post_max_extension_away
continuation_candidate,above,0.236,1d,5,17.4,2.716248,0.449581,42.4,5.8,194.958736
continuation_candidate,above,0.382,1d,5,13.2,1.272199,0.469125,36.4,7.6,128.114658
continuation_candidate,above,0.5,1d,1,20,4.060219,0.943095,21,17,41.67889
continuation_candidate,above,0.618,1d,1,20,3.000736,0.491984,50,3,198.36299
continuation_candidate,above,0.786,1d,1,8,0.982056,0.364083,50,2,531.8892
continuation_candidate,above,1,1d,4,16.75,2.389321,0.648029,42.75,5,154.327223
continuation_candidate,below,0.236,1d,3,18.333333,1.304105,0.301006,40.333333,10.666667,291.1495
continuation_candidate,below,0.382,1d,3,10.333333,3.408908,0.32047,14,5.333333,80.83
continuation_candidate,below,0.5,1d,3,20,1.974749,0.432076,34.333333,5,323.731667
continuation_candidate,below,0.786,1d,2,20,2.428481,0.379997,26,5.5,171.5326
continuation_candidate,below,1,1d,2,20,3.234462,0.366847,38,4,413.84
continuation_candidate,cross,0.236,1d,43,13.72093,2.099176,0.43843,38.976744,5.116279,1034.965356
continuation_candidate,cross,0.382,1d,42,12.785714,1.910982,0.694637,36.309524,5.047619,693.648218
continuation_candidate,cross,0.5,1d,43,13.395349,2.141801,0.657474,40.55814,4.604651,387.951305
continuation_candidate,cross,0.618,1d,41,14.634146,2.281547,0.594527,39.707317,5.146341,533.361369
continuation_candidate,cross,0.786,1d,38,17.447368,2.355098,0.47154,39.868421,6.421053,1112.680818
continuation_candidate,cross,1,1d,42,16.833333,2.246655,0.506527,40.190476,4.47619,843.285952
continuation_candidate,touch,0.236,1d,33,10.575758,2.404289,0.334963,32.909091,7.787879,1113.897475
continuation_candidate,touch,0.382,1d,21,14.619048,2.29408,0.240603,39.047619,5.904762,1866.23203
continuation_candidate,touch,0.5,1d,14,13.428571,1.979898,0.334746,36.5,6.071429,2543.687262
continuation_candidate,touch,0.618,1d,25,15.16,2.124264,0.347838,36.08,6.8,1450.675531
continuation_candidate,touch,0.786,1d,28,16.107143,2.248703,0.382146,38.214286,5.678571,757.326915
continuation_candidate,touch,1,1d,18,18.5,2.036743,0.349248,42.277778,5.833333,2267.345179
failure_candidate,above,0.236,1d,2,20,3.73145,0.367726,2,4.5,21.08119
failure_candidate,above,1,1d,1,20,3.73145,0.380236,2,4,20.79889
failure_candidate,below,0.236,1d,2,17.5,2.962762,0.207487,14.5,16.5,59.5463
failure_candidate,below,0.382,1d,2,16,1.338415,0.36363,17.5,17.5,50.40575
failure_candidate,below,0.5,1d,2,5.5,2.32724,0.370387,28,23,48.2825
failure_candidate,below,0.786,1d,6,16.833333,3.577186,0.3183,23.5,14.5,188.963667
failure_candidate,below,1,1d,1,20,2.336444,0.240245,3,2,17.57
failure_candidate,cross,0.236,1d,25,12.8,2.682215,0.270405,17.64,10.4,701.445003
