rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,above,0.786,4h,2,0.100434,0.007182,16.5,-0.05241,0.0,1.0,11,0.1,13.5,2.699733,7.066152,1894.336,1.249127
2,LOW SAMPLE,continuation_candidate,5,above,0.236,4h,1,0.097176,-1.2e-05,27,-0.071037,0.0,0.0,9,0.04,16,0.615874,15.065116,820.024,0.382915
3,ok,continuation_candidate,5,touch,0.5,4h,6,0.058745,0.003305,46.5,-0.012122,0.0,0.1667,5.5,0.046667,15.666667,3.649157,12.28766,740.5,0.467869
4,ok,continuation_candidate,5,above,1,4h,6,0.053916,0.014262,18.666667,-0.035331,0.0,0.8333,10,0.093333,14,1.976568,17.527612,2065.166667,0.588055
5,ok,continuation_candidate,5,touch,1,4h,14,0.050178,0.009669,43.285714,0.002956,0.0,0.6429,6,0.058571,14.642857,2.037188,36.420229,1244.785714,0.301098
6,ok,continuation_candidate,5,cross,0.5,4h,19,0.040532,0.009664,33.157895,0.003403,0.0,0.1579,7.473684,0.074737,15.578947,1.764277,17.979912,1149.991998,0.476638
7,ok,continuation_candidate,5,below,0.786,4h,5,0.040155,0.005022,40.8,0.027254,0.0,0.6,3.8,0.036,18.6,2.744593,13.827335,1040.016959,0.415007
8,ok,continuation_candidate,5,touch,0.786,4h,11,0.040002,0.006818,27.909091,-0.006104,0.0,0.5455,9.454545,0.09262,18,2.799435,12.253531,1554.657915,0.453765
9,ok,continuation_candidate,5,cross,0.786,4h,16,0.037341,0.00782,38.9375,0.001742,0.0,0.1875,6.375,0.06125,16.5,2.063225,11.383513,1191.48925,0.611657
10,LOW SAMPLE,continuation_candidate,5,below,0.236,4h,1,0.036715,0.009078,16,0.022611,0.0,1.0,3,0.0,11,2.212052,3.026249,534.96,0.176383
11,ok,continuation_candidate,5,cross,0.236,4h,13,0.036645,0.005377,38.307692,-0.001254,0.0,0.0769,4.307692,0.044615,16.923077,2.322986,3.769951,1268.662107,0.51526
12,ok,continuation_candidate,5,cross,0.382,4h,22,0.032686,0.008475,36.363636,0.00255,0.0,0.1818,7.454545,0.1,15.409091,1.349383,26.501437,1800.312,0.609785
13,ok,continuation_candidate,5,cross,0.618,4h,10,0.032576,0.009208,40.8,0.003618,0.0,0.1,4.1,0.03,17,1.76888,7.33942,1384.441985,0.65856
14,ok,continuation_candidate,5,touch,0.382,4h,11,0.032433,0.013921,30.090909,0.000728,0.0,0.8182,13.727273,0.167273,16.181818,3.003653,7.193112,1086.123281,0.291289
15,LOW SAMPLE,continuation_candidate,5,below,0.5,4h,2,0.031344,0.011379,44.5,0.015567,0.0,0.0,7,0.09,12,1.907706,8.769894,2342.0,0.236272
16,ok,continuation_candidate,5,touch,0.236,4h,9,0.030337,0.008729,31.333333,-0.001088,0.0,0.5556,9.555556,0.117778,13.555556,2.605823,6.699338,1323.604444,0.23533
17,ok,continuation_candidate,5,cross,1,4h,32,0.030253,0.008199,35.59375,0.004985,0.0,0.1562,6.0625,0.06625,17.75,2.110711,6.549542,1297.4375,0.559847
18,LOW SAMPLE,continuation_candidate,5,touch,0.618,4h,4,0.029523,0.004874,36,0.002137,0.0,0.75,7.5,0.095,17.75,3.069523,5.170967,1305.201962,0.660514
19,LOW SAMPLE,continuation_candidate,5,below,0.382,4h,1,0.027106,0.000151,41,0.019998,0.0,1.0,15,0.2,14,2.866424,3.391997,1461.924,0.586829
20,LOW SAMPLE,continuation_candidate,5,above,0.5,4h,1,0.023692,0.003367,35,-0.015963,0.0,1.0,22,0.28,5,3.005671,3.801144,740.0,0.492345
21,LOW SAMPLE,continuation_candidate,5,below,1,4h,1,0.022603,0.001797,45,0.012294,0.0,1.0,6,0.1,20,0.929871,11.193846,1070.0,0.436324
1,LOW SAMPLE,continuation_candidate,10,above,0.786,4h,2,0.119873,0.007182,16.5,-0.061441,0.0,1.0,11,0.1,13.5,2.699733,7.066152,1894.336,1.249127
