auto_candidate,relation,fib_level,timeframe,horizon,n_events,mean_forward_return,mean_mfe,mean_mae,rate_close_on_approach_side,rate_crossed_back,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm,mean_post_bars_on_break_side,mean_post_retest_count,mean_post_remained_near_level_rate
continuation_candidate,above,0.236,4h,10,21,-0.030298,0.0774,0.020177,0.2381,0.8095,13.952381,1.793542,49.080172,7.822344,0.340536,29.333333,7.571429,0.082857
continuation_candidate,above,0.236,4h,20,21,-0.018178,0.098949,0.037828,0.5714,0.9048,13.952381,1.793542,49.080172,7.822344,0.340536,29.333333,7.571429,0.082857
continuation_candidate,above,0.236,4h,5,21,-0.036847,0.05796,0.012991,0.0,0.7619,13.952381,1.793542,49.080172,7.822344,0.340536,29.333333,7.571429,0.082857
continuation_candidate,above,0.236,4h,50,21,-0.03324,0.130029,0.069023,0.381,0.9048,13.952381,1.793542,49.080172,7.822344,0.340536,29.333333,7.571429,0.082857
continuation_candidate,above,0.382,4h,10,27,-0.054348,0.104538,0.025049,0.2593,0.7407,13.481481,1.838631,13.668699,17.453921,0.370211,35.592593,9.777778,0.124444
continuation_candidate,above,0.382,4h,20,27,-0.032562,0.115359,0.030166,0.2963,0.7778,13.481481,1.838631,13.668699,17.453921,0.370211,35.592593,9.777778,0.124444
continuation_candidate,above,0.382,4h,5,27,-0.041929,0.064355,0.017993,0.0,0.6296,13.481481,1.838631,13.668699,17.453921,0.370211,35.592593,9.777778,0.124444
continuation_candidate,above,0.382,4h,50,27,-0.055107,0.152758,0.052237,0.2593,0.8148,13.481481,1.838631,13.668699,17.453921,0.370211,35.592593,9.777778,0.124444
continuation_candidate,above,0.5,4h,10,22,-0.0682,0.111941,0.012682,0.0909,0.7273,15.318182,2.432149,8.342304,13.322977,0.474147,43.409091,7.136364,0.088182
continuation_candidate,above,0.5,4h,20,22,-0.066447,0.13694,0.017896,0.2273,0.7727,15.318182,2.432149,8.342304,13.322977,0.474147,43.409091,7.136364,0.088182
continuation_candidate,above,0.5,4h,5,22,-0.049011,0.072714,0.009691,0.0,0.5909,15.318182,2.432149,8.342304,13.322977,0.474147,43.409091,7.136364,0.088182
continuation_candidate,above,0.5,4h,50,22,-0.132198,0.222456,0.024337,0.0455,0.7727,15.318182,2.432149,8.342304,13.322977,0.474147,43.409091,7.136364,0.088182
continuation_candidate,above,0.618,4h,10,20,-0.039445,0.075741,0.016157,0.2,0.6,13.35,1.660405,10.946286,8.049799,0.370136,35.1,8.65,0.108
continuation_candidate,above,0.618,4h,20,20,-0.04537,0.095774,0.021241,0.35,0.75,13.35,1.660405,10.946286,8.049799,0.370136,35.1,8.65,0.108
continuation_candidate,above,0.618,4h,5,20,-0.04316,0.060221,0.013274,0.0,0.55,13.35,1.660405,10.946286,8.049799,0.370136,35.1,8.65,0.108
continuation_candidate,above,0.618,4h,50,20,-0.030312,0.13758,0.060909,0.4,0.9,13.35,1.660405,10.946286,8.049799,0.370136,35.1,8.65,0.108
continuation_candidate,above,0.786,4h,10,23,-0.056883,0.090672,0.014047,0.2609,0.7391,13.695652,2.067896,9.768766,120.114564,0.557561,36.956522,9.26087,0.118261
continuation_candidate,above,0.786,4h,20,23,-0.05699,0.120138,0.018364,0.2174,0.7391,13.695652,2.067896,9.768766,120.114564,0.557561,36.956522,9.26087,0.118261
continuation_candidate,above,0.786,4h,5,23,-0.04194,0.062095,0.012277,0.0,0.6957,13.695652,2.067896,9.768766,120.114564,0.557561,36.956522,9.26087,0.118261
continuation_candidate,above,0.786,4h,50,23,-0.062837,0.153377,0.035873,0.3478,0.8696,13.695652,2.067896,9.768766,120.114564,0.557561,36.956522,9.26087,0.118261
continuation_candidate,above,1,4h,10,26,-0.046164,0.096886,0.013924,0.2308,0.8462,12.423077,1.967497,9.966912,484.945962,0.410967,33.769231,8.923077,0.097692
continuation_candidate,above,1,4h,20,26,-0.056194,0.118222,0.020136,0.3077,0.8846,12.423077,1.967497,9.966912,484.945962,0.410967,33.769231,8.923077,0.097692
continuation_candidate,above,1,4h,5,26,-0.049,0.072443,0.012826,0.0,0.8077,12.423077,1.967497,9.966912,484.945962,0.410967,33.769231,8.923077,0.097692
continuation_candidate,above,1,4h,50,26,-0.046179,0.161108,0.048081,0.4615,0.8846,12.423077,1.967497,9.966912,484.945962,0.410967,33.769231,8.923077,0.097692
continuation_candidate,below,0.236,4h,10,37,0.028275,0.067233,0.020982,0.2432,0.7838,13.72973,2.1139,8.044078,8.473557,0.468635,31.054054,6.513514,0.068108
continuation_candidate,below,0.236,4h,20,37,0.020784,0.085224,0.043416,0.4054,0.8649,13.72973,2.1139,8.044078,8.473557,0.468635,31.054054,6.513514,0.068108
continuation_candidate,below,0.236,4h,5,37,0.036122,0.051422,0.012736,0.0,0.6757,13.72973,2.1139,8.044078,8.473557,0.468635,31.054054,6.513514,0.068108
continuation_candidate,below,0.236,4h,50,37,0.023704,0.120751,0.062607,0.5405,0.8919,13.72973,2.1139,8.044078,8.473557,0.468635,31.054054,6.513514,0.068108
continuation_candidate,below,0.382,4h,10,34,0.041306,0.067735,0.016164,0.1471,0.6176,15.911765,2.015618,23.134735,4.209534,0.326479,35.529412,7.558824,0.081765
continuation_candidate,below,0.382,4h,20,34,0.045009,0.1049,0.03353,0.3529,0.7353,15.911765,2.015618,23.134735,4.209534,0.326479,35.529412,7.558824,0.081765
continuation_candidate,below,0.382,4h,5,34,0.035221,0.047896,0.013931,0.0,0.5,15.911765,2.015618,23.134735,4.209534,0.326479,35.529412,7.558824,0.081765
