fib_a,fib_b,time_iou,price_iou,box_iou,shared_anchor
fib_BTC-USD_4h_20250506T080000,fib_BTC-USD_4h_20250506T120000,0.75,0.9206,0.7044,anchor_b
fib_BTC-USD_4h_20210110T080000,fib_BTC-USD_4h_20210110T200000,0.625,0.8237,0.5148,anchor_b
fib_BTC-USD_4h_20190510T200000,fib_BTC-USD_4h_20190513T000000,0.5806,0.6996,0.4062,anchor_b
fib_BTC-USD_4h_20200313T000000,fib_BTC-USD_4h_20200313T040000,0.6667,0.5783,0.3855,anchor_b
fib_BTC-USD_4h_20170105T040000,fib_BTC-USD_4h_20170106T000000,0.5833,0.6401,0.3734,anchor_b
fib_BTC-USD_4h_20170715T160000,fib_BTC-USD_4h_20170716T040000,0.4,0.7124,0.285,anchor_b
fib_BTC-USD_4h_20210519T120000,fib_BTC-USD_4h_20210520T000000,0.5,0.53,0.265,anchor_b
fib_BTC-USD_4h_20220612T160000,fib_BTC-USD_4h_20220616T000000,0.4595,0.5652,0.2597,anchor_b
fib_BTC-USD_4h_20171105T160000,fib_BTC-USD_4h_20171106T120000,0.2857,0.804,0.2297,anchor_b
fib_BTC-USD_4h_20171025T120000,fib_BTC-USD_4h_20171026T040000,0.3333,0.4934,0.1645,anchor_b
fib_BTC-USD_4h_20240226T120000,fib_BTC-USD_4h_20240228T000000,0.3077,0.5308,0.1633,anchor_b
fib_BTC-USD_4h_20220224T040000,fib_BTC-USD_4h_20220227T200000,0.2143,0.7077,0.1516,anchor_b
fib_BTC-USD_4h_20221119T200000,fib_BTC-USD_4h_20221121T120000,0.1667,0.6065,0.1011,anchor_b
fib_BTC-USD_4h_20210114T200000,fib_BTC-USD_4h_20210121T000000,0.1395,0.6443,0.0899,anchor_b
fib_BTC-USD_4h_20170720T200000,fib_BTC-USD_4h_20170725T040000,0.1034,0.7469,0.0773,anchor_b
fib_BTC-USD_4h_20171217T120000,fib_BTC-USD_4h_20171222T000000,0.1,0.633,0.0633,anchor_b
fib_BTC-USD_4h_20251111T000000,fib_BTC-USD_4h_20251120T040000,0.127,0.4967,0.0631,anchor_b
fib_BTC-USD_4h_20210314T000000,fib_BTC-USD_4h_20210324T120000,0.087,0.6286,0.0547,anchor_b
fib_BTC-USD_4h_20190710T120000,fib_BTC-USD_4h_20190716T120000,0.122,0.435,0.0531,anchor_b
fib_BTC-USD_4h_20170805T000000,fib_BTC-USD_4h_20170813T120000,0.15,0.3283,0.0492,anchor_b
fib_BTC-USD_4h_20171108T160000,fib_BTC-USD_4h_20171111T200000,0.0952,0.4832,0.046,anchor_b
fib_BTC-USD_4h_20210105T040000,fib_BTC-USD_4h_20210108T040000,0.0526,0.3194,0.0168,anchor_b
