cluster_id,epsilon_log,representative_price,min_price,max_price,price_span_log,time_window_start,time_window_end,timeframe_count,level_count,timeframes,ratios,member_fib_ids
c001,0.005,29274.0,29247.0,29283.0,0.00123,2021-01-21T00:00:00+00:00,2021-06-01T00:00:00+00:00,4,4,"1M,1w,1d,4h","0.0,1.0",fib_BTC-USD_1M_20210401T000000|fib_BTC-USD_1d_20210127T000000|fib_BTC-USD_1w_20210121T000000|fib_BTC-USD_4h_20210126T200000
c002,0.005,21167.33,21092.07,21224.78,0.006272,2022-12-29T00:00:00+00:00,2023-07-01T00:00:00+00:00,4,4,"1M,1w,1d,4h","0.382,0.618",fib_BTC-USD_1M_20230101T000000|fib_BTC-USD_1d_20230107T000000|fib_BTC-USD_1w_20221229T000000|fib_BTC-USD_4h_20230312T120000
c003,0.005,976.1,972.18,981.71,0.009751,2016-12-29T00:00:00+00:00,2017-03-04T00:00:00+00:00,3,6,"1w,1d,4h","0.5,0.618,0.786",fib_BTC-USD_1d_20170105T000000|fib_BTC-USD_1d_20170112T000000|fib_BTC-USD_1w_20161229T000000|fib_BTC-USD_1w_20170105T000000|fib_BTC-USD_4h_20170105T040000|fib_BTC-USD_4h_20170106T000000
c004,0.005,64829.0,64829.0,64829.0,0.0,2020-03-12T00:00:00+00:00,2021-06-01T00:00:00+00:00,3,5,"1M,1w,1d","0.0,1.0",fib_BTC-USD_1M_20201001T000000|fib_BTC-USD_1M_20210401T000000|fib_BTC-USD_1d_20210414T000000|fib_BTC-USD_1w_20200312T000000|fib_BTC-USD_1w_20210121T000000
c005,0.005,47851.96,47637.9,48002.07,0.007615,2021-01-21T00:00:00+00:00,2021-06-01T00:00:00+00:00,3,5,"1M,1w,4h","0.382,0.5,0.618,0.786",fib_BTC-USD_1M_20210401T000000|fib_BTC-USD_1w_20210121T000000|fib_BTC-USD_4h_20210225T120000|fib_BTC-USD_4h_20210228T160000|fib_BTC-USD_4h_20210306T160000
c006,0.005,13764.0,13764.0,13764.0,0.0,2019-05-12T12:00:00+00:00,2020-03-12T00:00:00+00:00,3,4,"1w,1d,4h","0.0,1.0",fib_BTC-USD_1d_20190610T000000|fib_BTC-USD_1w_20190620T000000|fib_BTC-USD_4h_20190512T120000|fib_BTC-USD_4h_20190626T200000
c007,0.005,9084.7,9084.7,9084.7,0.0,2019-07-04T00:00:00+00:00,2019-07-17T08:00:00+00:00,3,4,"1w,1d,4h",0.0,fib_BTC-USD_1d_20190710T000000|fib_BTC-USD_1w_20190704T000000|fib_BTC-USD_4h_20190710T120000|fib_BTC-USD_4h_20190716T120000
c008,0.005,11430.13,11429.43,11430.37,8.2e-05,2019-07-04T00:00:00+00:00,2019-07-17T08:00:00+00:00,3,4,"1w,1d,4h",0.618,fib_BTC-USD_1d_20190710T000000|fib_BTC-USD_1w_20190704T000000|fib_BTC-USD_4h_20190704T200000|fib_BTC-USD_4h_20190710T120000
c009,0.005,31062.58,30997.64,31136.0,0.004454,2022-04-01T00:00:00+00:00,2022-11-01T00:00:00+00:00,3,4,"1M,1d,4h","0.0,0.382,0.618,1.0",fib_BTC-USD_1M_20220401T000000|fib_BTC-USD_1d_20220505T000000|fib_BTC-USD_4h_20220512T200000|fib_BTC-USD_4h_20220513T120000
c010,0.005,39664.34,39556.44,39791.04,0.005913,2021-01-21T00:00:00+00:00,2021-06-01T00:00:00+00:00,3,4,"1M,1w,4h","0.0,0.382,0.618",fib_BTC-USD_1M_20210401T000000|fib_BTC-USD_1w_20210121T000000|fib_BTC-USD_4h_20210206T160000|fib_BTC-USD_4h_20210523T160000
c011,0.005,58388.85,58161.72,58574.27,0.007068,2024-08-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,3,4,"1M,1d,4h","0.382,0.5,0.786",fib_BTC-USD_1M_20240801T000000|fib_BTC-USD_1d_20240805T000000|fib_BTC-USD_4h_20240804T120000|fib_BTC-USD_4h_20240807T200000
